repo,tag,cor,cfor,pco
avro,release-1.11.0-rc2,5.638198757763975,3.024585921325052,1.2618761860007597
avro,release-1.11.0,5.638198757763975,3.024585921325052,1.2618761860007597
avro,release-1.11.1-rc1,5.527967901817323,2.9214066556525844,1.2772822351878366
avro,release-1.11.1,5.527967901817323,2.9214066556525844,1.2772822351878366
pig,release-0.1.0,3.8686131386861313,1.5304136253041363,0.24837670887098914
pig,release-0.1.1-rc1,3.844868735083532,1.5274463007159904,0.24749501357896697
pig,release-0.1.1,3.842857142857143,1.526190476190476,0.24717668458689013
pig,release-0.2.0-rc0,5.7407407407407405,1.6861111111111111,0.39896622342540483
pig,release-0.2.0-rc1,5.74537037037037,1.6879629629629629,0.3992017396700324
pig,release-0.2.0,5.746296296296296,1.6888888888888889,0.39931969273004025
pig,release-0.3.0,5.866375545851528,1.8296943231441047,0.4562516151700262
pig,release-0.4.0-rc0,5.5,1.8015037593984962,0.459011898080734
pig,release-0.4.0,5.510526315789473,1.8045112781954886,0.46013831693526386
pig,release-0.5.0,5.513473053892215,1.8038922155688624,0.45979128238385114
pig,release-0.6.0-rc0,5.664732430689877,1.8762088974854931,0.5058779022230017
pig,release-0.6.0,5.7016077170418,1.8855305466237942,0.5092709263912792
pig,release-0.7.0,5.486800422386484,1.989440337909187,0.5795034998178785
pig,release-0.8.0,5.329559239789729,2.0295188030731905,0.7385587991591346
pig,release-0.8.1-rc0,5.406224737267583,2.050929668552951,0.753849834200817
pig,release-0.8.1,5.406224737267583,2.050929668552951,0.753849834200817
pig,release-0.9.0-rc0,5.476752503576538,2.3869814020028612,1.2626119526584427
pig,release-0.9.0-rc1,5.483547925608011,2.3880543633762517,1.2633587492732785
pig,release-0.9.0,5.483547925608011,2.3880543633762517,1.2633587492732785
pig,release-0.9.1-rc0,5.477264716249559,2.3835037010927036,1.2558038535834346
pig,release-0.9.1-rc1,5.4800845964046525,2.3842086711314767,1.2562689112324157
pig,release-0.9.1,5.4800845964046525,2.3842086711314767,1.2562689112324157
pig,release-0.9.2-rc0,5.546990496304118,2.3963393171418517,1.266908738775139
pig,release-0.9.2-rc1,5.585709257303766,2.407954945441746,1.2687297339721977
pig,release-0.9.2,5.585709257303766,2.407954945441746,1.2687297339721977
pig,release-0.10.0-rc0,5.685782967032967,2.4175824175824174,1.255962832761793
pig,release-0.10.0.new,5.686813186813187,2.4175824175824174,1.255962832761793
pig,release-0.10.0,5.686813186813187,2.4175824175824174,1.255962832761793
pig,release-0.10.1-rc0,5.740575736806032,2.4252912954078134,1.2710412270364608
pig,release-0.10.1-rc1,5.7467443454420835,2.426662097326936,1.2946532568571076
pig,release-0.10.1,5.7477724468814255,2.426662097326936,1.2946532568571076
pig,release-0.11.0-rc0,3.896197718631179,1.9446768060836501,1.4191865185782944
pig,release-0.11.0-rc1,3.896197718631179,1.9446768060836501,1.4191865185782944
pig,release-0.11.0-rc2,5.884578390509779,2.59313882654697,1.4955114445719926
pig,release-0.11.0,5.884578390509779,2.59313882654697,1.4955114445719926
pig,release-0.11.1-rc0,5.893303428388337,2.595322012175585,1.5008745689372758
pig,release-0.11.1,5.893303428388337,2.595322012175585,1.5008745689372758
pig,release-0.12.0-rc0,6.011028315946349,2.6709388971684054,1.634837516025167
pig,release-0.12.0-rc1,6.011922503725782,2.6709388971684054,1.634837516025167
pig,release-0.12.0-rc2,6.012220566318927,2.6709388971684054,1.634837516025167
pig,release-0.12.0,6.012220566318927,2.6709388971684054,1.634837516025167
pig,release-0.12.1-rc0,6.048468629200119,2.679750223015165,1.6704664146587713
pig,release-0.12.1,6.048468629200119,2.679750223015165,1.6704664146587713
pig,release-0.13.0-rc0,6.297320908561445,2.8048922539312753,1.7044013408449612
pig,release-0.13.0,6.313919627256843,2.8075131042516017,1.7108602538850683
pig,release-0.14.0-rc0,6.414587852494577,2.8177874186550977,1.6781144439020166
pig,release-0.14.0-rc1,6.415130151843818,2.8177874186550977,1.6781144439020166
pig,release-0.14.0,6.415130151843818,2.8177874186550977,1.6781144439020166
pig,release-0.15.0-rc0,6.4904509283819625,2.8037135278514587,1.6837825868940197
pig,release-0.15.0-rc1,6.497877984084881,2.8053050397877985,1.683572716087771
pig,release-0.15.0,6.497877984084881,2.8053050397877985,1.683572716087771
pig,release-0.16.0-rc0,6.637791154148129,2.8254383669196543,1.7195002608561494
pig,release-0.16.0,6.637791154148129,2.8254383669196543,1.7195002608561494
pig,release-0.17.0-rc0,6.615907374779764,2.8185250440473193,1.7710339202169412
pig,release-0.17.0,6.615907374779764,2.8185250440473193,1.7710339202169412
